Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Random Forest Classifier,0.8621,0.8611,0.8621,0.8448,0.8448,0.3945,0.4169,0.234
Extra Trees Classifier,0.8597,0.8428,0.8597,0.8474,0.848,0.4202,0.4351,0.044
Gradient Boosting Classifier,0.8476,0.8516,0.8476,0.8406,0.8427,0.4186,0.4222,0.048
Ada Boost Classifier,0.8355,0.7739,0.8355,0.8342,0.8337,0.3976,0.4004,0.032
Dummy Classifier,0.8331,0.5,0.8331,0.6941,0.7573,0.0,0.0,0.022
Decision Tree Classifier,0.798,0.6936,0.798,0.8215,0.8075,0.3487,0.3534,0.022
Logistic Regression,0.7448,0.786,0.7448,0.8252,0.7708,0.3175,0.3428,0.482
SVM - Linear Kernel,0.7448,0.7516,0.7448,0.8172,0.7689,0.298,0.3193,0.192
Ridge Classifier,0.7424,0.8012,0.7424,0.8285,0.7697,0.3226,0.3511,0.212
Linear Discriminant Analysis,0.7424,0.8011,0.7424,0.8285,0.7697,0.3226,0.3511,0.024
K Neighbors Classifier,0.7026,0.7183,0.7026,0.8143,0.737,0.2613,0.2942,0.192
Quadratic Discriminant Analysis,0.4301,0.6411,0.4301,0.8008,0.4583,0.0879,0.1502,0.024
Naive Bayes,0.2649,0.5414,0.2649,0.8161,0.2338,0.0306,0.0997,0.198
