Classifier,Accuracy,Sensitivity,Specificity,AUC
Logistic Regression,0.707,0.6271,0.723,
K Neighbors Classifier,0.6958,0.5763,0.7196,
Naive Bayes,0.2451,0.9661,0.1014,
Decision Tree Classifier,0.8056,0.4746,0.8716,
SVM - Linear Kernel,0.6845,0.6271,0.6959,
SVM - Radial Kernel,0.8085,0.5763,0.8547,
Gaussian Process Classifier,0.7324,0.4407,0.7905,
MLP Classifier,0.8366,0.4576,0.9122,
Ridge Classifier,0.693,0.6441,0.7027,
Random Forest Classifier,0.8732,0.4576,0.9561,
Quadratic Discriminant Analysis,0.3465,0.8814,0.2399,
Ada Boost Classifier,0.7972,0.3559,0.8851,
Gradient Boosting Classifier,0.8225,0.3729,0.9122,
Linear Discriminant Analysis,0.693,0.6441,0.7027,
Extra Trees Classifier,0.8648,0.4407,0.9493,
Dummy Classifier,0.8338,0.0,1.0,
